[WARNING] [TerrainFlicker] #1 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=42.216 residentObjects=16 drawnObjects=0 drawnTriangles=0 residentTriangles=815 coverage='visible terrain covered' visibleWindow=-5..-2, -5..-3 targetMaterializedWindow=-6..2, -7..1 targetVisualWindow=-6..2, -7..1 appliedVisualWindow=-6..2, -7..1 appliedColliderWindow=-4..-2, -5..-2 colliderWindow=-5..-2, -6..-3 pendingCritical=0 pendingTotal=14 dirty=False materializationInFlight=True startupReady=True camera=-3900.3..-2153.3, -4919.7..-2326 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 9121
[WARNING] [TerrainFlicker] #2 reason='draw terrain visuals: covered visible window stopped drawing terrain objects' time=43.302 residentObjects=16 drawnObjects=0 drawnTriangles=0 residentTriangles=815 coverage='visible terrain covered' visibleWindow=-5..-3, -5..-2 targetMaterializedWindow=-6..2, -7..1 targetVisualWindow=-6..2, -7..1 appliedVisualWindow=-6..2, -7..1 appliedColliderWindow=-5..-2, -5..-2 colliderWindow=-5..-2, -5..-2 pendingCritical=0 pendingTotal=17 dirty=False materializationInFlight=False startupReady=True camera=-4471.3..-2724.3, -4524.5..-1930.7 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 9121
[WARNING] [TerrainFlicker] #3 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=43.329 residentObjects=16 drawnObjects=0 drawnTriangles=0 residentTriangles=815 coverage='visible terrain covered' visibleWindow=-5..-3, -5..-2 targetMaterializedWindow=-6..2, -7..1 targetVisualWindow=-6..2, -7..1 appliedVisualWindow=-6..2, -7..1 appliedColliderWindow=-5..-2, -5..-2 colliderWindow=-5..-2, -5..-2 pendingCritical=0 pendingTotal=14 dirty=False materializationInFlight=False startupReady=True camera=-4524.9..-2777.9, -4500.9..-1907.2 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 9121
[WARNING] [TerrainFlicker] #4 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=45.591 residentObjects=16 drawnObjects=0 drawnTriangles=0 residentTriangles=815 coverage='visible terrain covered' visibleWindow=-6..-3, -5..-1 targetMaterializedWindow=-9..0, -8..1 targetVisualWindow=-9..0, -8..1 appliedVisualWindow=-6..2, -7..1 appliedColliderWindow=-5..-2, -6..-2 colliderWindow=-6..-3, -6..-1 pendingCritical=0 pendingTotal=4 dirty=False materializationInFlight=True startupReady=True camera=-5451.4..-2893.6, -4807.1..-1009.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 9121
[WARNING] [TerrainFlicker] #5 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=46.351 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=697 coverage='visible terrain covered' visibleWindow=-6..-3, -6..-1 targetMaterializedWindow=-8..0, -8..1 targetVisualWindow=-8..0, -8..1 appliedVisualWindow=-8..0, -8..1 appliedColliderWindow=-6..-3, -6..-1 colliderWindow=-6..-3, -6..-1 pendingCritical=0 pendingTotal=18 dirty=False materializationInFlight=False startupReady=True camera=-5734.6..-2921, -4997..-819.7 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 9121
[WARNING] [TerrainFlicker] #6 reason='draw terrain visuals: covered visible window stopped drawing terrain objects' time=59.219 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=697 coverage='visible terrain covered' visibleWindow=-7..-3, -6..-1 targetMaterializedWindow=-8..0, -8..1 targetVisualWindow=-8..0, -8..1 appliedVisualWindow=-8..0, -8..1 appliedColliderWindow=-7..-2, -7..-1 colliderWindow=-7..-2, -7..-1 pendingCritical=0 pendingTotal=76 dirty=False materializationInFlight=False startupReady=True camera=-6334.9..-2709.4, -5690.6..-337.5 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 9121
[WARNING] [TerrainFlicker] #7 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=59.246 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=697 coverage='visible terrain covered' visibleWindow=-7..-3, -6..-1 targetMaterializedWindow=-8..0, -8..1 targetVisualWindow=-8..0, -8..1 appliedVisualWindow=-8..0, -8..1 appliedColliderWindow=-7..-2, -7..-1 colliderWindow=-7..-2, -7..-1 pendingCritical=0 pendingTotal=76 dirty=False materializationInFlight=False startupReady=True camera=-6339.4..-2713.9, -5696.2..-343.1 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 9121
[WARNING] [TerrainFlicker] #8 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=59.998 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=697 coverage='visible terrain covered' visibleWindow=-6..-3, -6..-2 targetMaterializedWindow=-8..0, -8..1 targetVisualWindow=-8..0, -8..1 appliedVisualWindow=-8..0, -8..1 appliedColliderWindow=-7..-3, -6..-1 colliderWindow=-7..-3, -6..-1 pendingCritical=0 pendingTotal=73 dirty=False materializationInFlight=True startupReady=True camera=-5959.6..-3235.8, -5101.8..-1079.9 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 9121
[WARNING] [TerrainFlicker] #9 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=60.765 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=697 coverage='visible terrain covered' visibleWindow=-6..-4, -5..-3 targetMaterializedWindow=-8..0, -8..1 targetVisualWindow=-8..0, -8..1 appliedVisualWindow=-8..0, -8..1 appliedColliderWindow=-6..-3, -5..-2 colliderWindow=-6..-3, -5..-2 pendingCritical=0 pendingTotal=9 dirty=False materializationInFlight=False startupReady=True camera=-5298.2..-3900.4, -4124.3..-2060.5 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 9121
[WARNING] [TerrainFlicker] #10 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=61.528 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=684 coverage='visible terrain covered' visibleWindow=-6..-4, -5..-3 targetMaterializedWindow=-8..0, -8..1 targetVisualWindow=-8..0, -8..1 appliedVisualWindow=-8..0, -8..1 appliedColliderWindow=-6..-3, -5..-2 colliderWindow=-6..-3, -5..-2 pendingCritical=0 pendingTotal=7 dirty=False materializationInFlight=False startupReady=True camera=-5044.9..-3647.1, -4292.6..-2228.8 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 9121
[WARNING] [TerrainFlicker] #11 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=62.293 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=684 coverage='visible terrain covered' visibleWindow=-6..-4, -5..-3 targetMaterializedWindow=-8..0, -8..1 targetVisualWindow=-8..0, -8..1 appliedVisualWindow=-8..0, -8..1 appliedColliderWindow=-6..-3, -5..-2 colliderWindow=-6..-3, -5..-2 pendingCritical=0 pendingTotal=9 dirty=False materializationInFlight=False startupReady=True camera=-4875..-3477.3, -4336.1..-2272.2 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 9121
