[WARNING] Main thread stall detected: stage=Update elapsed=340.4ms frame=0.0ms fps=0.0 sources=[XPClumpManager.XPClumpManager.UpdateUnstableDropPreviews=229.6ms; BlockManager.BlockManager.Update=37.2ms; HealthBarManager.HealthBarManager.Update=34.9ms; ActionHandler.ActionHandler.Tickwise_CheckActions=17.4ms; DamageNumberManager.DamageNumberManager=5.0ms; GameUpdater.Player.Movement=4.5ms; BulletCollisionSystem.BulletCollisionSystem.Update=1.9ms; XPClumpManager.XPClumpManager.Update=1.1ms] terrain=visible terrain not materialized chunks=0..0, 0..0 | MainThreadStallLogger.cs::ReportIfStalled @ Line 44
[WARNING] Main thread stall detected: stage=Draw elapsed=1072.9ms frame=0.0ms fps=0.0 sources=[FogOfWarManager.FogOfWarManager.Prepare=970.5ms; XPClumpManager.XPClumpManager.UpdateUnstableDropPreviews=229.6ms; GameBlockTerrainBackground.GameBlockTerrainBackground.PrepareOceanBiomeDebugOverlayForFrame=51.8ms; BlockManager.BlockManager.Update=37.2ms; HealthBarManager.HealthBarManager.Update=34.9ms; ActionHandler.ActionHandler.Tickwise_CheckActions=17.4ms; BlockManager.BlockManager.CompleteDockedFrame=15.5ms; HealthBarManager.HealthBarManager.Draw=10.9ms] terrain=visible terrain waiting on 3 chunks chunks=0..0, 0..0 | MainThreadStallLogger.cs::ReportIfStalled @ Line 44
[WARNING] [TerrainFlicker] #1 reason='draw terrain visuals: covered visible window stopped drawing terrain objects' time=1610.374 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=2..3, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=0 dirty=False materializationInFlight=False startupReady=True camera=2622.6..4066.4, -2817.6..-674 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #2 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1610.398 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=2..3, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=0 dirty=False materializationInFlight=False startupReady=True camera=2629.4..4073.2, -2814.8..-671.2 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #3 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1611.160 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=2..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=3 dirty=False materializationInFlight=False startupReady=True camera=2841.3..4285.1, -2729.4..-585.8 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #4 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1611.918 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=2..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=0 dirty=False materializationInFlight=False startupReady=True camera=3057.4..4501.2, -2661.7..-518.1 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #5 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1612.678 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=0 dirty=False materializationInFlight=False startupReady=True camera=3283.3..4727.1, -2630.3..-486.7 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #6 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1613.444 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=0 dirty=False materializationInFlight=False startupReady=True camera=3511.1..4954.9, -2601.7..-458.1 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #7 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1614.208 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..5, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=9 dirty=False materializationInFlight=False startupReady=True camera=3706.6..5150.4, -2529.2..-385.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #8 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1614.976 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..5, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=3 dirty=False materializationInFlight=False startupReady=True camera=3724..5167.8, -2517.7..-374.1 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #9 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1615.737 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3623.6..5067.4, -2507.8..-364.2 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
